Team Name,Season,Week,Goal Type,Goal Description,Goal Target,Goal Actual,Goal Unit,
Team DWAFAWAT,1,1,Diet,Goop,5,7,Days,
Team DWAFAWAT,1,1,Diet,No Restricted Foods,4,4,Days,
Team DWAFAWAT,1,1,Exercise,PT Routine,4,4,Days,
Team DWAFAWAT,1,1,Exercise,Stretch,210,210,Minutes,
Team DWAFAWAT,1,1,Lifestyle,Read,210,210,Minutes,
Team DWAFAWAT,1,1,Lifestyle,Meditate,105,105,Minutes,
Team Fluffy Bunny,1,1,Diet,No added sugar,3,1,Days,
Team Fluffy Bunny,1,1,Diet,64oz Water,6,5,Days,
Team Fluffy Bunny,1,1,Exercise,Cardio,4,5,Days,
Team Fluffy Bunny,1,1,Exercise,Weight Training,3,3,Days,
Team Fluffy Bunny,1,1,Lifestyle,No TV ,4,2,Days,
Team Fluffy Bunny,1,1,Lifestyle,Read,120,160,Minutes,
Team Lazer,1,1,Diet,Processed Foods,7,5,Days,
Team Lazer,1,1,Diet,Booze,7,5,Days,
Team Lazer,1,1,Exercise,Primary Exercise ,420,60,Minutes,
Team Lazer,1,1,Exercise,Jiu Jitsu,3,0,MInutes,
Team Lazer,1,1,Lifestyle,Meditate ,210,30,Minutes,
Team Lazer,1,1,Lifestyle,Rise (before 7am) ,7,5,Days,
Team DWAFAWAT,1,2,Diet,Goop,6,6,Days,
Team DWAFAWAT,1,2,Diet,No Restricted Foods,5,3,Days,
Team DWAFAWAT,1,2,Exercise,PT Routine,4,5,Days,
Team DWAFAWAT,1,2,Exercise,Stretch,210,215,Minutes,
Team DWAFAWAT,1,2,Lifestyle,Read,210,225,Minutes,
Team DWAFAWAT,1,2,Lifestyle,Meditate,105,90,Minutes,
Team Fluffy Bunny,1,2,Diet,No added sugar,3,2,Days,
Team Fluffy Bunny,1,2,Diet,64oz Water,6,4,Days,
Team Fluffy Bunny,1,2,Exercise,Cardio,4,6,Days,
Team Fluffy Bunny,1,2,Exercise,Weight Training,4,3,Days,
Team Fluffy Bunny,1,2,Lifestyle,No TV ,4,3,Days,
Team Fluffy Bunny,1,2,Lifestyle,Read,180,140,Minutes,
Team Lazer,1,2,Diet,Processed Foods,7,7,Days,
Team Lazer,1,2,Diet,Booze,7,7,Days,
Team Lazer,1,2,Exercise,Primary Exercise ,420,420,Minutes,
Team Lazer,1,2,Exercise,Jiu Jitsu,3,0,MInutes,
Team Lazer,1,2,Lifestyle,Meditate ,210,160,Minutes,
Team Lazer,1,2,Lifestyle,Rise (before 7am) ,7,6,Days,
Team Kelly (name pending),1,2,Diet,Non-meat meals,12,8,Meals,
Team Kelly (name pending),1,2,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,2,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,2,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,2,Lifestyle,Artistic/creative output,4,3,Days,
Team Kelly (name pending),1,2,Lifestyle,Read 60 minutes,7,5,Days,
Team Best Buds,1,2,Diet,Bone broth and Salad,5,6,Days,
Team Best Buds,1,2,Diet,Turmeric and Cloves Supplements,7,7,Days,
Team Best Buds,1,2,Exercise,Yoga & P.T.,420,420,Minutes,
Team Best Buds,1,2,Exercise,S.T.,180,90,Minutes,
Team Best Buds,1,2,Lifestyle,Reading,210,30,Minutes,
Team Best Buds,1,2,Lifestyle,Practice/Drum,210,30,Minutes,
Team SMASH FASCISM,1,2,Diet,1 gluten free meal,4,3,Days,
Team SMASH FASCISM,1,2,Diet,No booze,4,2,Days,
Team SMASH FASCISM,1,2,Exercise,Morning yoga/meditation ,7,6,Days,
Team SMASH FASCISM,1,2,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,2,Lifestyle,Meditate before bed,5,2,Days,
Team SMASH FASCISM,1,2,Lifestyle,Read,120,70,Minutes,
Team DWAFAWAT,1,3,Diet,Goop,7,7,Days,
Team DWAFAWAT,1,3,Diet,No Restricted Foods,5,5,Days,
Team DWAFAWAT,1,3,Exercise,PT Routine,5,5,Days,
Team DWAFAWAT,1,3,Exercise,Stretch,240,240,Minutes,
Team DWAFAWAT,1,3,Lifestyle,Read,210,210,Minutes,
Team DWAFAWAT,1,3,Lifestyle,Meditate,105,90,Minutes,
Team Kelly (name pending),1,3,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,3,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,3,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,3,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,3,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,3,Lifestyle,Read 60 minutes,7,5,Days,
Team Fluffy Bunny,1,3,Diet,Whole Foods,2,1,Days,
Team Fluffy Bunny,1,3,Diet,No Carbs,2,1,Days,
Team Fluffy Bunny,1,3,Exercise,Cardio,5,4,Days,
Team Fluffy Bunny,1,3,Exercise,Weight Training,4,3,Days,
Team Fluffy Bunny,1,3,Lifestyle,Journal,4,3,Days,
Team Fluffy Bunny,1,3,Lifestyle,Hobbie work,120,240,Minutes,
Team SMASH FASCISM,1,3,Diet,Gluten free meal,4,7,Days,
Team SMASH FASCISM,1,3,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,3,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,3,Exercise,Bike ride,60,30,Minutes,
Team SMASH FASCISM,1,3,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,3,Lifestyle,Read,120,85,Minutes,
Team Best Buds,1,3,Diet,Salad and Fruit,7,7,Days,
Team Best Buds,1,3,Diet,Turmeric and Cloves Supplements,7,6.5,Days,
Team Best Buds,1,3,Exercise,Yoga,420,390,Minutes,
Team Best Buds,1,3,Exercise,St. Tr. & P.T.,180,325,Minutes,
Team Best Buds,1,3,Lifestyle,Reading,210,135,Minutes,
Team Best Buds,1,3,Lifestyle,Practice/Drum,210,165,Minutes,
Team Lazer,1,3,Diet,Processed Foods,7,5,Days,
Team Lazer,1,3,Diet,Booze,7,5,Days,
Team Lazer,1,3,Exercise,Primary Exercise ,420,180,Minutes,
Team Lazer,1,3,Exercise,Jiu Jitsu,3,0,Days,
Team Lazer,1,3,Lifestyle,Meditate ,160,10,Minutes,
Team Lazer,1,3,Lifestyle,Rise (before 7am) ,7,5,Days,
Team DWAFAWAT,1,4,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,4,Diet,No Restricted Foods,5,5,Days,
Team DWAFAWAT,1,4,Exercise,PT Routine,5,4,Days,
Team DWAFAWAT,1,4,Exercise,Stretch,270,170,Minutes,
Team DWAFAWAT,1,4,Lifestyle,Read,270,225,Minutes,
Team DWAFAWAT,1,4,Lifestyle,Meditate,105,75,Minutes,
Team Fluffy Bunny,1,4,Diet,Fast until 1400,2,2,Days,
Team Fluffy Bunny,1,4,Diet,no eating after 2000,4,0,Days,
Team Fluffy Bunny,1,4,Exercise,Cardio,5,5,Days,
Team Fluffy Bunny,1,4,Exercise,Weight training,4,3,Days,
Team Fluffy Bunny,1,4,Lifestyle,Bed by 2130 work days,3,1,Days,
Team Fluffy Bunny,1,4,Lifestyle,Journal,4,0,Days,
Team Lazer,1,4,Diet,Processed Foods,7,5,Days,
Team Lazer,1,4,Diet,Booze,7,7,Days,
Team Lazer,1,4,Exercise,Primary Exercise ,420,360,Minutes,
Team Lazer,1,4,Exercise,Jiu Jitsu,3,0,Days,
Team Lazer,1,4,Lifestyle,Meditate ,160,30,Minutes,
Team Lazer,1,4,Lifestyle,Rise (before 7am) ,7,6,Days,
Team Kelly (name pending),1,4,Diet,Non-meat meals,12,11,Meals,
Team Kelly (name pending),1,4,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,4,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,4,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,4,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,4,Lifestyle,Read 60 minutes,7,7,Days,
Team Best Buds,1,4,Diet,Daily Veg&Fruit,7,5.5,Days,
Team Best Buds,1,4,Diet,Water 8x8 rule,56,51,Glasses,
Team Best Buds,1,4,Exercise,Sleeping ,56,51,Hours,
Team Best Buds,1,4,Exercise,"Yoga, St. Tr., & P.T.",630,540,Minutes,
Team Best Buds,1,4,Lifestyle,Book Reading,210,30,Minutes,
Team Best Buds,1,4,Lifestyle,Practice/Drum,210,300,Minutes,
Team SMASH FASCISM,1,4,Diet,Gluten free meal,4,4,Days,
Team SMASH FASCISM,1,4,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,4,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,4,Exercise,Bike ride,60,20,Minutes,
Team SMASH FASCISM,1,4,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,4,Lifestyle,Read,120,90,Minutes,
Team Kelly (name pending),1,5,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,5,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,5,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,5,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,5,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,5,Lifestyle,Read 60 minutes,7,5,Days,
Team Best Buds,1,5,Diet,Daily Veg&Fruit,7,6.5,Days,
Team Best Buds,1,5,Diet,Water 8x8 rule,56,52,Glasses,
Team Best Buds,1,5,Exercise,Sleeping ,56,57.5,Hours,
Team Best Buds,1,5,Exercise,"Yoga, St. Tr., & P.T.",630,480,Minutes,
Team Best Buds,1,5,Lifestyle,Book Reading,210,80,Minutes,
Team Best Buds,1,5,Lifestyle,Practice/Drum,210,120,Minutes,
Team Fluffy Bunny,1,5,Diet,Fast until 1400,4,4,Days,
Team Fluffy Bunny,1,5,Diet,no eating after 2030,4,3,Days,
Team Fluffy Bunny,1,5,Exercise,Cardio,5,5,Days,
Team Fluffy Bunny,1,5,Exercise,Weight training,4,4,sessions,
Team Fluffy Bunny,1,5,Lifestyle,Bed by 2130 work days,3,3,Days,
Team Fluffy Bunny,1,5,Lifestyle,Journal/ journal,7,4,Days,
Team SMASH FASCISM,1,5,Diet,Gluten free meal,4,4,Days,
Team SMASH FASCISM,1,5,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,5,Exercise,Morning yoga/meditation ,7,6,Days,
Team SMASH FASCISM,1,5,Exercise,Bike ride,60,30,Minutes,
Team SMASH FASCISM,1,5,Lifestyle,Meditate before bed,5,4,Days,
Team SMASH FASCISM,1,5,Lifestyle,Read,120,85,Minutes,
Team DWAFAWAT,1,5,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,5,Diet,No Restricted Foods,5,3,Days,
Team DWAFAWAT,1,5,Exercise,PT Routine,5,3,Days,
Team DWAFAWAT,1,5,Exercise,Stretch,270,270,Minutes,
Team DWAFAWAT,1,5,Lifestyle,Journal,14,6,Times,
Team DWAFAWAT,1,5,Lifestyle,Meditate,105,60,Minutes,
Team Lazer,1,5,Diet,Processed Foods,7,4,Days,
Team Lazer,1,5,Diet,Booze,7,5,Days,
Team Lazer,1,5,Exercise,Primary Exercise ,420,120,Minutes,
Team Lazer,1,5,Exercise,Cold Showers,5,2,Days,
Team Lazer,1,5,Lifestyle,Meditate ,160,0,Minutes,
Team Lazer,1,5,Lifestyle,Rise (before 7am) ,7,4,Days,
Team Kelly (name pending),1,6,Diet,Non-meat meals,12,8,Meals,
Team Kelly (name pending),1,6,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,6,Exercise,Ride stationary bike,135,45,Minutes,
Team Kelly (name pending),1,6,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,6,Lifestyle,Artistic/creative output,4,1,Days,
Team Kelly (name pending),1,6,Lifestyle,Read 60 minutes,7,4,Days,
Team DWAFAWAT,1,6,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,6,Diet,No Restricted Foods,5,5,Days,
Team DWAFAWAT,1,6,Exercise,PT Routine,5,5,Days,
Team DWAFAWAT,1,6,Exercise,Stretch,270,340,Minutes,
Team DWAFAWAT,1,6,Lifestyle,Journal,14,13,Times,
Team DWAFAWAT,1,6,Lifestyle,Meditate,105,90,Minutes,
Team SMASH FASCISM,1,6,Diet,Gluten free meal,4,4,Days,
Team SMASH FASCISM,1,6,Diet,No booze,4,3.5,Days,
Team SMASH FASCISM,1,6,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,6,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,6,Lifestyle,Meditate before bed,5,3,Days,
Team SMASH FASCISM,1,6,Lifestyle,Read,120,95,Minutes,
Team Lazer,1,6,Diet,Processed Foods,7,4,Days,
Team Lazer,1,6,Diet,Booze,7,7,Days,
Team Lazer,1,6,Exercise,Primary Exercise ,420,30,Minutes,
Team Lazer,1,6,Exercise,Cold Showers,5,0,Days,
Team Lazer,1,6,Lifestyle,Meditate ,160,0,Minutes,
Team Lazer,1,6,Lifestyle,Rise (before 7am) ,7,5,Days,
Team Best Buds,1,6,Diet,Daily Veg&Fruit,7,5.5,Days,
Team Best Buds,1,6,Diet,Water 8x8 rule,56,49,Glasses,
Team Best Buds,1,6,Exercise,Sleeping ,56,42.5,Hours,
Team Best Buds,1,6,Exercise,"Yoga, St. Tr., & P.T.",630,300,Minutes,
Team Best Buds,1,6,Lifestyle,Book Reading,210,90,Minutes,
Team Best Buds,1,6,Lifestyle,Practice/Drum,210,0,Minutes,
Team DWAFAWAT,1,7,Diet,Goop,7,7,Days,
Team DWAFAWAT,1,7,Diet,No Restricted Foods,5,3,Days,
Team DWAFAWAT,1,7,Exercise,PT Routine,5,2,Days,
Team DWAFAWAT,1,7,Exercise,Stretch,300,320,Minutes,
Team DWAFAWAT,1,7,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,7,Lifestyle,Meditate,105,75,Minutes,
Team SMASH FASCISM,1,7,Diet,Gluten free meal,4,4,Days,
Team SMASH FASCISM,1,7,Diet,No booze,4,1,Days,
Team SMASH FASCISM,1,7,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,7,Exercise,Bike ride,60,40,Minutes,
Team SMASH FASCISM,1,7,Lifestyle,Meditate before bed,5,2,Days,
Team SMASH FASCISM,1,7,Lifestyle,Read,120,100,Minutes,
Team Kelly (name pending),1,7,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,7,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,7,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,7,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,7,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,7,Lifestyle,Read 60 minutes,7,5,Days,
Team Best Buds,1,7,Diet,Daily Veg&Fruit,7,4.5,Days,
Team Best Buds,1,7,Diet,Water 8x8 rule,56,43,Glasses,
Team Best Buds,1,7,Exercise,Sleeping ,56,49.5,Hours,
Team Best Buds,1,7,Exercise,"Yoga, St. Tr., & P.T.",630,80,Minutes,
Team Best Buds,1,7,Lifestyle,Book Reading,210,60,Minutes,
Team Best Buds,1,7,Lifestyle,Practice/Drum,210,300,Minutes,
Team Kelly (name pending),1,8,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,8,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,8,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,8,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,8,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,8,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,1,8,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,8,Diet,No booze,4,2,Days,
Team SMASH FASCISM,1,8,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,8,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,8,Lifestyle,Meditate before bed,5,2,Days,
Team SMASH FASCISM,1,8,Lifestyle,Read,120,120,Minutes,
Team Best Buds,1,8,Diet,Daily Veg&Fruit,7,6.5,Days,
Team Best Buds,1,8,Diet,Water 8x8 rule,56,49,Glasses,
Team Best Buds,1,8,Exercise,Sleeping ,56,45,Hours,
Team Best Buds,1,8,Exercise,"Yoga, St. Tr., & P.T.",630,155,Minutes,
Team Best Buds,1,8,Lifestyle,Book Reading,210,0,Minutes,
Team Best Buds,1,8,Lifestyle,Practice/Drum,210,180,Minutes,
Team DWAFAWAT,1,8,Diet,Goop,7,7,Days,
Team DWAFAWAT,1,8,Diet,No Restricted Foods,5,1,Days,
Team DWAFAWAT,1,8,Exercise,PT Routine,5,2,Days,
Team DWAFAWAT,1,8,Exercise,Stretch,300,330,Minutes,
Team DWAFAWAT,1,8,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,8,Lifestyle,Meditate,105,85,Minutes,
Team Kelly (name pending),1,9,Diet,Non-meat meals,12,8,Meals,
Team Kelly (name pending),1,9,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,9,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,9,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,9,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,9,Lifestyle,Read 60 minutes,7,5,Days,
Team Fluffy Bunny,1,9,Diet,Fast until 1400,4,0,Days,
Team Fluffy Bunny,1,9,Diet,no eating after 2030,4,2,Days,
Team Fluffy Bunny,1,9,Exercise,Cardio,4,2,Days,
Team Fluffy Bunny,1,9,Exercise,Weight training,3,0,sessions,
Team Fluffy Bunny,1,9,Lifestyle,Bed by 2130 work days,3,1,Days,
Team Fluffy Bunny,1,9,Lifestyle,Read 30 minutes,5,1,Days,
Team SMASH FASCISM,1,9,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,9,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,9,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,9,Exercise,Bike ride,60,50,Minutes,
Team SMASH FASCISM,1,9,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,9,Lifestyle,Read,120,120,Minutes,
Team Best Buds,1,9,Diet,Daily Veg&Fruit,7,6,Days,
Team Best Buds,1,9,Diet,Water 8x8 rule,56,50,Glasses,
Team Best Buds,1,9,Exercise,Sleeping ,56,54,Hours,
Team Best Buds,1,9,Exercise,"Yoga, St. Tr., & P.T.",630,495,Minutes,
Team Best Buds,1,9,Lifestyle,Book Reading,210,140,Minutes,
Team Best Buds,1,9,Lifestyle,Practice/Drum,210,105,Minutes,
Team DWAFAWAT,1,9,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,9,Diet,Calorie Intake,2422.714286,3000,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,9,Exercise,PT Routine,5,2,Days,
Team DWAFAWAT,1,9,Exercise,Stretch,320,352,Minutes,
Team DWAFAWAT,1,9,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,9,Lifestyle,Meditate,105,85,Minutes,
Team Kelly (name pending),1,10,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,10,Diet,Booze,5,3,Days,
Team Kelly (name pending),1,10,Exercise,Ride stationary bike,135,45,Minutes,
Team Kelly (name pending),1,10,Exercise,Core workout,3,1,Days,
Team Kelly (name pending),1,10,Lifestyle,Artistic/creative output,4,1,Days,
Team Kelly (name pending),1,10,Lifestyle,Read 60 minutes,7,3,Days,
Team SMASH FASCISM,1,10,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,10,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,10,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,10,Exercise,Bike ride,60,40,Minutes,
Team SMASH FASCISM,1,10,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,10,Lifestyle,Read,120,120,Minutes,
Team Best Buds,1,10,Diet,Daily Veg&Fruit,7,7,Days,
Team Best Buds,1,10,Diet,Water 8x8 rule,56,54,Glasses,
Team Best Buds,1,10,Exercise,Sleeping ,56,47.5,Hours,
Team Best Buds,1,10,Exercise,"Yoga, St. Tr., & P.T.",630,610,Minutes,
Team Best Buds,1,10,Lifestyle,Book Reading,210,80,Minutes,
Team Best Buds,1,10,Lifestyle,Practice/Drum,210,90,Minutes,
Team Fluffy Bunny,1,10,Diet,Fast until 1400,4,1,Days,
Team Fluffy Bunny,1,10,Diet,no eating after 2030,4,1,Days,
Team Fluffy Bunny,1,10,Exercise,Cardio,4,2,Days,
Team Fluffy Bunny,1,10,Exercise,Weight training,3,0,sessions,
Team Fluffy Bunny,1,10,Lifestyle,Bed by 2130 work days,3,1,Days,
Team Fluffy Bunny,1,10,Lifestyle,Read 30 minutes,5,0,Days,
Team DWAFAWAT,1,10,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,10,Diet,Calorie Intake,2470.428571,3000,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,10,Exercise,PT Routine,5,1,Days,
Team DWAFAWAT,1,10,Exercise,Stretch,350,350,Minutes,
Team DWAFAWAT,1,10,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,10,Lifestyle,Meditate,105,80,Minutes,
Team Kelly (name pending),1,11,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,11,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,11,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,11,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,11,Lifestyle,Artistic/creative output,3,3,Days,
Team Kelly (name pending),1,11,Lifestyle,Read 60 minutes,7,5,Days,
Team Fluffy Bunny,1,11,Diet,Fast until 1400,3,2,Days,
Team Fluffy Bunny,1,11,Diet,no eating after 2030,3,2,Days,
Team Fluffy Bunny,1,11,Exercise,Cardio,4,2,Days,
Team Fluffy Bunny,1,11,Exercise,Weight training,2,0,sessions,
Team Fluffy Bunny,1,11,Lifestyle,Bed by 2130 work days,2,0,Days,
Team Fluffy Bunny,1,11,Lifestyle,Read 30 minutes,3,1,Days,
Team SMASH FASCISM,1,11,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,11,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,11,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,11,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,11,Lifestyle,Meditate before bed,5,3,Days,
Team SMASH FASCISM,1,11,Lifestyle,Read,120,120,Minutes,
Team Best Buds,1,11,Diet,Daily Veg&Fruit,7,6,Days,
Team Best Buds,1,11,Diet,Water 8x8 rule,56,52,Glasses,
Team Best Buds,1,11,Exercise,Sleeping ,56,46,Hours,
Team Best Buds,1,11,Exercise,"Yoga, St. Tr., & P.T.",630,530,Minutes,
Team Best Buds,1,11,Lifestyle,Book Reading,210,0,Minutes,
Team Best Buds,1,11,Lifestyle,Practice/Drum,210,315,Minutes,
Team DWAFAWAT,1,11,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,11,Diet,Calorie Intake,2418.571429,2700,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,11,Exercise,PT Routine,5,0,Days,
Team DWAFAWAT,1,11,Exercise,Stretch,350,230,Minutes,
Team DWAFAWAT,1,11,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,11,Lifestyle,Meditate,105,120,Minutes,
Team Fluffy Bunny,1,12,Diet,Fast until 1400,3,2,Days,
Team Fluffy Bunny,1,12,Diet,No Carbs,3,0,Days,
Team Fluffy Bunny,1,12,Exercise,Walk the dog,4,3,Days,
Team Fluffy Bunny,1,12,Exercise,Cardio session,3,1,sessions,
Team Fluffy Bunny,1,12,Lifestyle,Write for 30 mins,3,1,Days,
Team Fluffy Bunny,1,12,Lifestyle,Clean for 30 mins,3,2,Days,
Team SMASH FASCISM,1,12,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,12,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,12,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,12,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,12,Lifestyle,Meditate before bed,5,4,Days,
Team SMASH FASCISM,1,12,Lifestyle,Read,120,70,Minutes,
Team Kelly (name pending),1,12,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,12,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,12,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,12,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,12,Lifestyle,Artistic/creative output,3,2,Days,
Team Kelly (name pending),1,12,Lifestyle,Read 60 minutes,7,6,Days,
Team Best Buds,1,12,Diet,Daily Veg&Fruit,7,6,Days,
Team Best Buds,1,12,Diet,Water 8x8 rule,56,45,Glasses,
Team Best Buds,1,12,Exercise,Sleeping ,56,51.5,Hours,
Team Best Buds,1,12,Exercise,"Yoga, St. Tr., & P.T.",630,570,Minutes,
Team Best Buds,1,12,Lifestyle,Book Reading,210,83,Minutes,
Team Best Buds,1,12,Lifestyle,Practice/Drum,210,220,Minutes,
Team DWAFAWAT,1,12,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,12,Diet,Calorie Intake,2443,2600,Calories,Had to reverse the actual/target for math purposes
Team DWAFAWAT,1,12,Exercise,Hockey + Weights,6,4,Days,
Team DWAFAWAT,1,12,Exercise,Stretch,350,350,Minutes,
Team DWAFAWAT,1,12,Lifestyle,Journal,14,14,Times,
Team DWAFAWAT,1,12,Lifestyle,Meditate,105,65,Minutes,
Team Kelly (name pending),1,13,Diet,Non-meat meals,12,10,Meals,
Team Kelly (name pending),1,13,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,13,Exercise,Ride stationary bike,135,95,Minutes,
Team Kelly (name pending),1,13,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,13,Lifestyle,Artistic/creative output,3,2,Days,
Team Kelly (name pending),1,13,Lifestyle,Read 60 minutes,7,5,Days,
Team SMASH FASCISM,1,13,Diet,1 gluten free meal,4,4,Days,
Team SMASH FASCISM,1,13,Diet,No booze,4,3,Days,
